dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8422613065326634,observed_max,50.0,17,,,N95,22.0,0.7727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8471859296482412,observed_max,50.0,18,,,N95,22.0,0.8181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8521105527638191,observed_max,50.0,18,,,N95,22.0,0.8181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.857035175879397,observed_max,50.0,18,,,N95,22.0,0.8181818181818182,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8619597989949749,observed_max,50.0,19,,,N95,22.0,0.8636363636363636,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8668844221105528,observed_max,50.0,19,,,N95,22.0,0.8636363636363636,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8718090452261307,observed_max,50.0,19,,,N95,22.0,0.8636363636363636,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8767336683417086,observed_max,50.0,20,,,N95,22.0,0.9090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8816582914572865,observed_max,50.0,20,,,N95,22.0,0.9090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8865829145728643,observed_max,50.0,21,,,N95,22.0,0.9545454545454546,,,True,True,False
